logFC	AveExpr	t	P.Value	adj.P.Val	B	Significance	ID
ESR1	-6.06202480483139	7.40928953849398	-40.2062002824318	6.39396909479298e-210	9.56985354417665e-206	469.762067399159	Downregulated	ESR1
CA12	-4.21182075935725	7.82923999454189	-33.768347584687	1.18413179922773e-166	8.86145031952071e-163	370.462085366709	Downregulated	CA12
GATA3	-3.57046664698276	8.40733665492829	-32.7230766721931	1.54809830878772e-159	7.72346246254191e-156	354.11109563129	Downregulated	GATA3
TBC1D9	-3.1194052349233	8.08790686650976	-31.5306863540475	2.0868929647935e-151	7.80863175101607e-148	335.427682678723	Downregulated	TBC1D9
MLPH	-3.78261066995029	7.45831277354787	-30.9005512912344	4.14286241517901e-147	1.24012443535969e-143	325.55225467738	Downregulated	MLPH
GPR77	-3.4030944350281	1.66116989531559	-30.2006942323614	2.45010232243149e-142	6.11178024330536e-139	313.952620400551	Downregulated	GPR77
FOXA1	-4.38998338256452	7.34962046749487	-29.8956215982709	2.93891165334999e-140	6.2838129593842e-137	309.811462496989	Downregulated	FOXA1
THSD4	-3.35566071973936	6.31239115547131	-29.6909839710856	7.28134644572944e-139	1.36224890316541e-135	306.608218068716	Downregulated	THSD4
AGR2	-5.53771659442107	7.22019827138195	-28.5441339714479	4.60588375759365e-131	7.65958468887823e-128	288.688726643656	Downregulated	AGR2
C6orf97	-3.52571716299901	3.6667558378449	-28.3886859629551	5.23332378916444e-130	7.83271571524242e-127	286.203120321664	Downregulated	C6orf97
DNALI1	-4.04922738679671	4.36035342499297	-27.6160862192764	9.02760412115682e-125	1.12596792401128e-121	274.221047755001	Downregulated	DNALI1
XBP1	-2.30696314834098	10.5313455654782	-27.5872835740791	1.41408773803845e-124	1.62805009040165e-121	273.777077500512	Downregulated	XBP1
CT62	-4.47844163099975	0.0111852523483319	-27.6363617457639	6.58196250269972e-125	8.95565752526425e-122	273.245936786237	Downregulated	CT62
SLC44A4	-4.65661506596623	5.66121244396552	-26.9311698458631	3.82772363520034e-120	4.09210997486024e-117	263.610506251941	Downregulated	SLC44A4
GREB1	-3.67659175315477	5.66637121817702	-26.8577968607738	1.19584796455042e-119	1.19321709902841e-116	262.466408084801	Downregulated	GREB1
ANXA9	-3.31666188827223	4.25313597006213	-26.7992033348104	2.96900095654778e-119	2.77731483229066e-116	261.562815141695	Downregulated	ANXA9
PSAT1	3.79262599030141	2.12899491989973	26.7147306992464	1.10088517466304e-118	9.6923225936363e-116	260.177892373704	Upregulated	PSAT1
DEGS2	-3.77719457653805	5.00496644710443	-26.6192254603475	4.84022468299496e-118	4.02464682391031e-115	258.784121203508	Downregulated	DEGS2
PRR15	-3.53289291944202	4.107459566335	-25.8993073075135	3.31272942668192e-113	2.58899271666275e-110	247.678009915784	Downregulated	PRR15
ZNF552	-2.19378644405692	5.63982625721769	-25.8964953458028	3.45960141199004e-113	2.58899271666275e-110	247.612440726806	Downregulated	ZNF552
LMX1B	-2.47836033606446	5.64298855512138	-25.7213337037277	5.15042897275669e-112	3.67078430644044e-109	244.920240568573	Downregulated	LMX1B
KCNJ11	-2.64018402707959	3.64775449448672	-25.6602123379485	1.32047289019598e-111	8.98341715798329e-109	244.000831315027	Downregulated	KCNJ11
B3GNT5	2.35814571350757	3.02429226345313	25.5430342773417	8.01836517593289e-111	5.21786398209511e-108	242.197484667861	Upregulated	B3GNT5
AFF3	-4.02578498577356	5.69883307830992	-25.3003135724455	3.34512756736669e-109	2.08610517919906e-106	238.477766183763	Downregulated	AFF3
CXXC5	-1.77932722327903	5.15988818598324	-25.2562348426475	6.5815031097961e-109	3.94021428177273e-106	237.790167064414	Downregulated	CXXC5
TTLL4	1.44155369612948	4.74853967994158	25.1977140117551	1.61573035085341e-108	9.3010139081627e-106	236.896812325116	Upregulated	TTLL4
ZMYND10	-3.33606885327245	2.80100419023347	-25.0662596165587	1.21286300658016e-107	6.72330393314271e-105	234.842939892068	Downregulated	ZMYND10
ARSG	-2.31418618478767	3.75127047725964	-24.8120649757331	5.94027291119102e-106	3.17528802363557e-103	231.031642505696	Downregulated	ARSG
ERBB4	-4.92461262145613	4.10518322079511	-24.7413129513885	1.75188283255396e-105	9.04152770856382e-103	229.938464443634	Downregulated	ERBB4
ACADSB	-2.17980028887441	6.28505303369376	-24.6888687956227	3.90359637621904e-105	1.94750423209568e-102	229.098438429584	Downregulated	ACADSB
ABAT	-2.89348445990525	5.2456525773769	-24.5736880703214	2.26500480930322e-104	1.09355893486585e-101	227.380007273564	Downregulated	ABAT
MYB	-2.46910152366099	5.98007141819905	-24.4901321255007	8.0999987459885e-104	3.78852128847531e-101	226.082538897232	Downregulated	MYB
SLC22A5	-1.39353361206761	4.70442418102176	-24.3805029861769	4.30431718015538e-103	1.95220349198138e-100	224.445186940043	Downregulated	SLC22A5
IFRD1	1.31529502535423	4.81503758402788	24.3761019792412	4.60266512574274e-103	2.02612026285269e-100	224.364934511393	Upregulated	IFRD1
SLC7A8	-2.27724126964646	6.70631039343231	-24.339676851229	8.01400873896953e-103	3.42701910846163e-100	223.780668701164	Downregulated	SLC7A8
FBP1	-2.31060216786773	5.89586777100132	-24.3049915357071	1.35864050175998e-102	5.64854788606711e-100	223.271019720725	Downregulated	FBP1
YBX1	1.15440484509312	8.13947494997703	24.1253351001657	2.08570048985017e-101	8.43694033286148e-99	220.520669377956	Upregulated	YBX1
SLC39A6	-2.62705298544852	9.38120007516968	-23.9825990008036	1.81990320054985e-100	7.16802400069199e-98	218.372930520529	Downregulated	SLC39A6
SPDEF	-3.44936256149691	6.67962728033291	-23.911004464714	5.38760513032857e-100	2.06759707655456e-97	217.302764361714	Downregulated	SPDEF
SCUBE2	-4.53267790138903	6.54142072865643	-23.8383888115154	1.61840979718704e-99	6.05568485862459e-97	216.228943831702	Downregulated	SCUBE2
CLSTN2	-3.7788895649076	4.79704405499229	-23.7716361300293	4.44501274566284e-99	1.62264648205697e-96	215.248109057313	Downregulated	CLSTN2
TFF3	-5.80893460299625	5.55634844046861	-23.6689600102426	2.09965914521901e-98	7.48228533964118e-96	213.70811333544	Downregulated	TFF3
FSIP1	-4.76942732179101	2.44768467462652	-23.5792389597628	8.14141519672811e-98	2.83378049417278e-95	212.234018160276	Downregulated	FSIP1
RABEP1	-1.40327002984171	7.25965820278465	-23.3869209714946	1.4797275260864e-96	4.92157375176335e-94	209.370510510065	Downregulated	RABEP1
KDM4B	-1.52330254706173	6.89855175807029	-23.3845763079861	1.53291837864547e-96	4.98764986373624e-94	209.336848596251	Downregulated	KDM4B
LOC145837	-4.02224759288546	0.871253986464673	-23.4046136167871	1.13353226634089e-96	3.85581305234638e-94	209.315145089261	Downregulated	LOC145837
MSL3	0.789763008056127	4.89696686098008	23.3098081357547	4.72471634932446e-96	1.50457084256041e-93	208.256552714494	Not Significant	MSL3
FLJ45983	-4.68719104436851	2.38527310275861	-23.2793146096609	7.47521283207837e-96	2.33086480120244e-93	207.729439468714	Downregulated	FLJ45983
RERG	-2.51361171578394	5.50071213685939	-23.2358318535887	1.43752369604934e-95	4.39090146097356e-93	207.149436227919	Downregulated	RERG
CELSR1	-1.99798693708077	7.4240346978757	-23.2201879122343	1.81865458624714e-95	5.4439606384722e-93	206.87097628904	Downregulated	CELSR1
PPP1R14C	4.06182895996688	0.60048360527155	23.2141601540536	1.99112527150992e-95	5.84336704680177e-93	206.725141799548	Upregulated	PPP1R14C
MAPT	-3.6602251113898	5.79334013504431	-23.1669496476147	4.04743472220618e-95	1.1649606824473e-92	206.127992515527	Downregulated	MAPT
GFRA1	-5.17503863023918	6.56497404141925	-23.1474357210002	5.42585932378673e-95	1.53224219809653e-92	205.848775244707	Downregulated	GFRA1
INPP4B	-2.42373869347181	4.3834630522672	-23.1452964719487	5.60300329262321e-95	1.55296574593873e-92	205.832496473179	Downregulated	INPP4B
SIDT1	-2.58467380429944	4.67046184021926	-23.0609836396392	1.98616312999741e-94	5.30837563690557e-92	204.562903464993	Downregulated	SIDT1
CMBL	-2.17860495531621	5.86153683179818	-23.0617332742664	1.96395264555915e-94	5.30837563690557e-92	204.524637350905	Downregulated	CMBL
CCNE1	2.33689720603302	2.03975552126063	23.0243103797961	3.4425923107338e-94	9.03952265171101e-92	204.009403518172	Upregulated	CCNE1
FAM47E	-2.23175179022338	1.95667078466109	-22.9597200437074	9.06398562620142e-94	2.3389771184027e-91	202.988277183104	Downregulated	FAM47E
AGR3	-8.14210386303955	4.44918569914133	-22.9093241661112	1.92802463965065e-93	4.89097369180531e-91	202.160920251895	Downregulated	AGR3
